1:10001	3.5952380952380953
1:10002	3.5
1:10003	3.5294117647058822
1:10004	3.6111111111111107
1:10005	3.6500000000000004
1:10006	3.5500000000000003
1:10007	3.875
2:10001	2.8571428571428568
2:10002	2.9461538461538463
2:10003	2.9529411764705884
2:10004	2.8055555555555554
2:10005	2.71
2:10006	2.92
2:10007	2.45
3:10001	3.576190476190476
3:10002	3.5230769230769234
3:10003	3.5058823529411764
3:10004	3.6277777777777778
3:10005	3.7700000000000005
3:10006	3.6
3:10007	3.875
4:10001	4.171428571428572
4:10002	4.107692307692308
4:10003	4.111764705882353
4:10004	4.194444444444445
4:10005	4.24
4:10006	4.12
4:10007	4.425
5:10001	3.4
5:10002	3.269230769230769
5:10003	3.3235294117647065
5:10004	3.4666666666666663
5:10005	3.54
5:10006	3.45
5:10007	3.725
